,source,target,value
551,Australia,Vietnam,1
552,Korea,Vietnam,1
553,Australia,Canada,1
554,Australia,Vietnam,1
555,Korea,Vietnam,1
556,Australia,Canada,1
557,Australia,Vietnam,1
558,Korea,Vietnam,1
559,Australia,Canada,1
560,Australia,Vietnam,1
561,Korea,Vietnam,1
562,Korea,Vietnam,1
563,Cambodia,Korea,1
564,Korea,Vietnam,1
565,Cambodia,Korea,1
566,Cambodia,Vietnam,1
567,Cambodia,Vietnam,1
568,Cuba,Vietnam,1
569,Cambodia,Vietnam,1
570,Cuba,Vietnam,1
571,Cuba,Vietnam,1
572,Cuba,Vietnam,1
573,Cuba,Vietnam,1
574,Japan,Russia,1
575,Japan,Russia,1
576,Japan,Russia,1
577,Japan,Russia,1
578,Japan,Russia,1
579,Japan,Russia,1
580,China,India,1
581,China,India,1
582,China,India,1
583,China,India,1
584,China,India,1
585,China,India,1
586,Finland,Russia,1
587,Finland,Russia,1
588,Finland,Russia,1
589,Finland,Russia,1
590,Finland,Russia,1
591,Finland,Russia,1
592,Germany,Norway,1
593,Germany,Norway,1
594,Germany,Norway,1
595,Germany,Norway,1
596,Germany,Norway,1
597,Germany,Norway,1
598,Greece,Italy,1
599,Greece,Italy,1
600,Germany,Italy,1
601,Italy,Japan,1
602,Germany,Italy,1
603,Italy,Japan,1
604,Germany,Italy,1
605,Italy,Japan,1
606,Germany,Italy,1
607,Italy,Japan,1
608,Germany,Italy,1
609,Italy,Japan,1
610,Germany,Italy,1
611,Italy,Japan,1
612,India,Pakistan,1
613,India,Pakistan,1
614,India,Pakistan,1
615,India,Pakistan,1
616,India,Pakistan,1
617,India,Pakistan,1
618,Romania,Russia,1
619,Romania,Russia,1
620,Romania,Russia,1
621,Romania,Russia,1
622,Romania,Russia,1
623,Romania,Russia,1
624,India,Lebanon,1
625,India,Singapore,1
626,India,Singapore,1
627,India,Singapore,1
628,India,Singapore,1
629,India,Singapore,1
